epoch,box,cls,kpt,Recall,Precision,mAP@50,F1,mAP
001,2.024,25.929,0.681,0.001,0.000,0.000,0.000,0.000
002,1.687,0.130,0.494,0.111,0.000,0.000,0.001,0.000
003,1.310,0.281,0.430,0.076,0.006,0.002,0.011,0.000
004,1.108,0.311,0.407,0.086,0.042,0.015,0.056,0.003
005,0.941,0.305,0.366,0.123,0.257,0.085,0.166,0.026
006,0.812,0.284,0.307,0.169,0.441,0.162,0.244,0.058
007,0.725,0.271,0.267,0.181,0.462,0.180,0.260,0.070
008,0.674,0.258,0.237,0.210,0.551,0.220,0.304,0.079
009,0.670,0.252,0.229,0.209,0.592,0.227,0.309,0.094
010,0.662,0.256,0.215,0.234,0.596,0.249,0.336,0.107
011,0.620,0.239,0.195,0.252,0.632,0.272,0.361,0.119
012,0.624,0.248,0.191,0.259,0.651,0.283,0.371,0.125
013,0.610,0.255,0.200,0.271,0.674,0.297,0.386,0.131
014,0.590,0.254,0.192,0.282,0.692,0.314,0.401,0.142
015,0.570,0.257,0.186,0.288,0.684,0.318,0.405,0.144
016,0.579,0.258,0.184,0.292,0.701,0.326,0.412,0.147
017,0.566,0.251,0.175,0.298,0.701,0.329,0.418,0.152
018,0.566,0.250,0.173,0.304,0.723,0.345,0.428,0.156
019,0.565,0.253,0.174,0.307,0.730,0.349,0.432,0.161
020,0.569,0.253,0.167,0.314,0.724,0.353,0.438,0.165
021,0.555,0.246,0.165,0.317,0.729,0.357,0.442,0.167
022,0.567,0.246,0.165,0.323,0.734,0.363,0.448,0.172
023,0.541,0.242,0.160,0.320,0.738,0.363,0.447,0.172
024,0.544,0.241,0.158,0.326,0.734,0.369,0.451,0.176
025,0.539,0.239,0.156,0.333,0.738,0.375,0.459,0.178
026,0.557,0.246,0.160,0.333,0.743,0.373,0.460,0.179
027,0.535,0.240,0.151,0.336,0.750,0.381,0.464,0.182
028,0.558,0.245,0.155,0.334,0.759,0.383,0.464,0.182
029,0.520,0.229,0.148,0.341,0.760,0.388,0.471,0.185
030,0.534,0.235,0.150,0.345,0.749,0.390,0.473,0.186
031,0.545,0.236,0.148,0.350,0.747,0.391,0.477,0.189
032,0.528,0.233,0.147,0.352,0.755,0.398,0.480,0.192
033,0.527,0.235,0.146,0.353,0.753,0.399,0.481,0.192
034,0.547,0.242,0.145,0.352,0.761,0.401,0.481,0.194
035,0.512,0.233,0.142,0.357,0.766,0.409,0.487,0.197
